Title,Organzation,DatePosted,Description,Location
1 Stay involved with Santa Clara County Parks long-term volunteer opportunities,,,"Santa Clara County Parks offers many exciting long-term opportunities that keep volunteers involved in stewardship, resource protection, and public engagement activities in 28 unique and diverse parks in the heart of Silicon Valley. Long-term volunteers must be at least 18 years of age and participate in a variety of simple onboarding steps including a background check, v","San Jose, CA, 95138"
"2 Volunteer- Hospice, Santa Clara County. Mileage reimbursement provided.",,,"Sequoia Hospice is looking for compassionate individuals who can provide comfort and support to patients with a life-limiting illness and relief for their family/caregivers. Service is provided within Santa Clara County. To become a hospice volunteer at Sequoia Hospice, no experience is required, all training and support will be provided. The precious gif","Milpitas, CA, 95035"
3 Board Member with expertise in Fundraising,,,"Front Door Communities is looking for a committed board member to serve on our organization's governing body. The board member's responsibilities include advising on strategic plans, participating in evaluations, and monitoring its financial affairs. You should also prepare for board meetings, attend them regularly, and actively participate in them. To be successful as a board member you shoul","San Jose, CA, 95113"
4 American Sign Language Wish Granter - San Jose Area,,,"Make-A-Wish grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength, and joy. Wish granter volunteers interview wish kids to determine their wishes, and send in paperwork to the office. When the wish is approved, the wish granters find creative ways to ""enhance"" the child’s wish. Our chapter typically","San Jose, CA, 95112"
5 Project Coordinator - San Jose CA,,,Join Us in Making a Difference! Are you passionate about creating a positive change in society? Our CBS-featured non-profit wants you to join us in making a difference. About Us: Bright Mind is an award-winning non-profit organization recognized for our innovative initiatives such as Wellness Week and 'Street Care'. Our ou,"San Jose, CA, 95113"
6 Volunteer Opportunities in Downtown San Jose,,,"Recruiting Organization: Recovery Cafe San Jose Then Recovery Cafe is open on Weekdays from 10am-3:30pm Time commitment is minimum of two hours either weekly or biweekly with a 4-6 month commitment. There are a variety of roles: Clothing Closet- Daily 10:30-12:30 and 1:30-3:30pm. Organize donations, keep the closet space tidy, assist members with c","San Jose, CA, 95112"
7 STEM Mentors Needed at Sunrise Middle School,,,"If you are interested in mentoring and helping students with STEM Tutoring, STEM For Others will be at Sunrise Middle School from 4-5pm every Thursday. We are currently teaching Java to around 8-10 students in Room C. No preparation is needed in advance, if you love helping kids or want service hours, sign up! (edited","San Jose, CA, 95116"
8 Project Site Individuals,,,"We’re looking for passionate individuals to join us on-site for Rebuilding Day! Volunteers will be assigned to help with painting, landscaping, or home repairs as we work alongside our sponsors to assist homeowners in transforming their homes. No prior experience is necessary-just bring your enthusiasm and willingness to help! This is a wonderful opportunity to give back to the community,",95112
9 Coyote Creek Care Day: Trash Pickup and Stream Assessment,,,"Join Keep Coyote Creek Beautiful and the Watershed Stewards Program for a community Coyote Creek health event. Meet new people; improve a neighborhood park; build community around a shared sense of service. Our day will begin with a cleanup where we will collect trash. Following the cleanup, we will do a quick stream assessment to learn about creek health and water quality. Volunteers","San Jose, CA, 95116"
10 Fight Hunger! Food Distribution at Healthy Start Early Learning Center- San Jose,,,"Food Distribution at Healthy Start Early Learning Center 1st Friday of every month, from 2:30pm-6pm PLEASE SIGN UP TO VOLUNTEER (To register, please copy the link below and paste into your browser) https://www.shfb.org/give-help/volunteer/volcalendar-general/?location=0011I00001Iqtr5QAB","San Jose, CA, 95116"
