title,organization,date_posted,description,location
1 Stay involved with Santa Clara County Parks long-term volunteer opportunities,Santa Clara County Parks and Recreation Department,"Date Posted: February 26, 2025","Santa Clara County Parks offers many exciting long-term opportunities that keep volunteers involved in stewardship, resource protection, and public engagement activities in 28 unique and diverse parks in the heart of Silicon Valley. Long-term volunteers must be at least 18 years of age and participate in a variety of simple onboarding steps including a background check, v","San Jose, CA, 95138"
"2 Volunteer- Hospice, Santa Clara County. Mileage reimbursement provided.",Sequoia Hospice,"Date Posted: March 3, 2025","Sequoia Hospice is looking for compassionate individuals who can provide comfort and support to patients with a life-limiting illness and relief for their family/caregivers. Service is provided within Santa Clara County. To become a hospice volunteer at Sequoia Hospice, no experience is required, all training and support will be provided. The precious gif","Milpitas, CA, 95035"
3 Board Member with expertise in Fundraising,Front Door Communities,"Date Posted: March 27, 2025","Front Door Communities is looking for a committed board member to serve on our organization's governing body. The board member's responsibilities include advising on strategic plans, participating in evaluations, and monitoring its financial affairs. You should also prepare for board meetings, attend them regularly, and actively participate in them. To be successful as a board member you shoul","San Jose, CA, 95113"
4 American Sign Language Wish Granter - San Jose Area,Make-A-Wish,"Date Posted: March 30, 2025","Make-A-Wish grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength, and joy. Wish granter volunteers interview wish kids to determine their wishes, and send in paperwork to the office. When the wish is approved, the wish granters find creative ways to ""enhance"" the child’s wish. Our chapter typically","San Jose, CA, 95112"
5 Project Coordinator - San Jose CA,BRIGHT MIND ENRICHMENT AND SCHOOLING,"Date Posted: March 28, 2025",Join Us in Making a Difference! Are you passionate about creating a positive change in society? Our CBS-featured non-profit wants you to join us in making a difference. About Us: Bright Mind is an award-winning non-profit organization recognized for our innovative initiatives such as Wellness Week and 'Street Care'. Our ou,"San Jose, CA, 95113"
6 Volunteer Opportunities in Downtown San Jose,Idealist.org,"Date Posted: March 17, 2025","Recruiting Organization: Recovery Cafe San Jose Then Recovery Cafe is open on Weekdays from 10am-3:30pm Time commitment is minimum of two hours either weekly or biweekly with a 4-6 month commitment. There are a variety of roles: Clothing Closet- Daily 10:30-12:30 and 1:30-3:30pm. Organize donations, keep the closet space tidy, assist members with c","San Jose, CA, 95112"
7 STEM Mentors Needed at Sunrise Middle School,STEM FOR OTHERS INC,"Date Posted: March 30, 2025","If you are interested in mentoring and helping students with STEM Tutoring, STEM For Others will be at Sunrise Middle School from 4-5pm every Thursday. We are currently teaching Java to around 8-10 students in Room C. No preparation is needed in advance, if you love helping kids or want service hours, sign up! (edited","San Jose, CA, 95116"
8 Project Site Individuals,REBUILDING TOGETHER SILICON VALLEY,"Date Posted: March 17, 2025","We’re looking for passionate individuals to join us on-site for Rebuilding Day! Volunteers will be assigned to help with painting, landscaping, or home repairs as we work alongside our sponsors to assist homeowners in transforming their homes. No prior experience is necessary-just bring your enthusiasm and willingness to help! This is a wonderful opportunity to give back to the community,",95112
9 Coyote Creek Care Day: Trash Pickup and Stream Assessment,Keep Coyote Creek Beautiful,"Date Posted: March 25, 2025","Join Keep Coyote Creek Beautiful and the Watershed Stewards Program for a community Coyote Creek health event. Meet new people; improve a neighborhood park; build community around a shared sense of service. Our day will begin with a cleanup where we will collect trash. Following the cleanup, we will do a quick stream assessment to learn about creek health and water quality. Volunteers","San Jose, CA, 95116"
10 Fight Hunger! Food Distribution at Healthy Start Early Learning Center- San Jose,Second Harvest of Silicon Valley,"Date Posted: March 28, 2025","Food Distribution at Healthy Start Early Learning Center 1st Friday of every month, from 2:30pm-6pm PLEASE SIGN UP TO VOLUNTEER (To register, please copy the link below and paste into your browser) https://www.shfb.org/give-help/volunteer/volcalendar-general/?location=0011I00001Iqtr5QAB","San Jose, CA, 95116"
11 Volunteer Party - Join us to prepare Mother's Day cards!,Cystic Fibrosis Research Institute,"Date Posted: March 29, 2025","Cystic Fibrosis Research Institute (CFRI) is a nonprofit organization that raises funds for cystic fibrosis (CF) research and programs. We are in great need of volunteers to help us prepare Mother's Day cards on Saturday, April 5, 2025! There are two shifts (you can sign up for one shift or both shifts): 9am-12pm 12pm-3pm This activity involves inserting items into cards an","Palo Alto, CA, 94303"
12 Cat Chauffeur for 13th St. Cats,13th Street Cat Rescue,"Date Posted: March 8, 2025","Are you a cat lover with a flexible schedule? 13th St. Cats is looking for compassionate volunteers to help transport our rescue cats to and from veterinary appointments on short notice. When our cats require urgent or unexpected trips to the vet, having reliable drivers makes a world of difference and ensures they receive the care they need. Responsibilities: - Pick up and transpor",95112
13 Live and Volunteer with Kids on the Cheyenne River Sioux Reservation!,Cheyenne River Youth Project,"Date Posted: February 21, 2025","The Cheyenne River Youth Project is looking for energetic, dedicated, and passionate individuals. Volunteers work hard at CRYP to provide a fun, safe place for children to come spend time with us everyday. They live and work at our campus in Eagle Butte, SD. Among other tasks, they help staff implement much of the youth programming we do, aid in the delivery of family services, prepare nu","Eagle Butte, SD, 57625"
14 Take Climate Action Now!,California Volunteers,"Date Posted: January 21, 2025","You can take immediate action to be a part of the climate solution. Planting trees, hacking your thermostat, and composting food waste are just a few examples of how you can make a difference from home today. By signing up, you are pledging to take action as part of the California Climate Action Corps. We'll email you a list of 10 ways to take action on climate change from home. We'll","Statewide, CA, 95814"
15 Volunteer to tutor and mentor 1:1 with a student in Chicago (In person and remote options available),Tutoring Chicago,"Date Posted: March 6, 2025","Become a tutor, mentor and role model. Tutoring Chicago is a free one-to-one tutoring program for students in grades 1-12. While we are currently in the final quarter of our 24-25 program year, we are actively looking for volunteers for our 2025-2026 school year. Tutoring Chicago will offer both in-person and","Chicago, IL, 60614"
16 Join PCV as a Business Advisor and Support Growth in the Green Economy!,Pacific Community Ventures,"Date Posted: February 13, 2025","Small businesses are the heart of our communities, and empowering them within the green economy presents a unique opportunity to create a more sustainable future. As a PCV Business Advisor, you can leverage your expertise to help eco-focused small businesses succeed while making a meaningful and lasting impact. Why Become a Pro-Bono Business Advisor with PCV?","San Francisco, CA, 94107"
17 Helping Elders is Awesome!,ElderHelpers.org,"Date Posted: March 28, 2025","Have some time and compassion to spare? Join ElderHelpers.org We put you in touch with elders in need of care who don't require special skills, just good-hearted people. Help Elders with activities that you enjoy on a schedule that works best for you! What to Expect? By sharing a little about yourself on our website, you're saying that","Houston, TX, 77001"
18 Make a Real Difference - Volunteer in the Federal Prison System,Federal Bureau of Prisons,"Date Posted: March 5, 2025","You can change the lives of inmates by volunteering with the Federal Bureau of Prisons. Our volunteers lead and assist with delivering a variety of programs in facilities nationwide that prepare inmates to succeed upon release. Why Volunteer with Us? Sharing your skills, hobbies, passions, or faith, can change lives, reduce recidivism, and create a lasting, positiv","Fort Dix, NJ, 08640"
19 Prayer Team Warrior,SoupMobile,"Date Posted: January 29, 2025","CALLING ALL PRAYER WARRIORS: Join the world wide SoupMobile Prayer Team as a Prayer Warrior and help us pray for the sick, the homeless, the hurting & others in need. We currently have more than 7,000+ SoupMobile Prayer Warriors world wide including all 50 States and a host of countries including Europe, Australia, Africa, Ukraine, Mexico, Dubai, Canada, South America, India and many more.","Dallas, TX, 75215"
