title,organization,date_posted,description,location
"1 Student Project Judging at the Synopsys Championship Science and Technology Fair March 13, 2025",Santa Clara Valley Science and Engineering Fair Association,"Date Posted: December 4, 2024","We invite you to take part in encouraging future scientists and engineers by judging at the Synopsys Science and Technology Championship science fair on March 13 th. Judging will be held at the San Jose McEnery Convention Center, South Hall from 11 AM to 5 PM. The Santa Clara Vall","San Jose, CA, 95113"
2 Stay involved with Santa Clara County Parks long-term volunteer opportunities,Santa Clara County Parks and Recreation Department,"Date Posted: November 27, 2024","Santa Clara County Parks offers many exciting long-term opportunities that keep volunteers involved in stewardship, resource protection, and public engagement activities in 28 unique and diverse parks in the heart of Silicon Valley. Long-term volunteers must be at least 18 years of age and participate in a variety of simple onboarding steps including a background check, v","San Jose, CA, 95138"
"3 Volunteer-Hospice, Santa Clara County. Mileage reimbursement provided.",Sequoia Hospice,"Date Posted: December 31, 2024","Sequoia Hospice is looking for compassionate individuals who can provide comfort and support to patients with a life-limiting illness and relief for their family/caregivers. Service is provided within Santa Clara County. To become a hospice volunteer at Sequoia Hospice, no experience is required, all training and support will be provided. The precious gif","Milpitas, CA, 95035"
4 CA San Jose Court Order Community Service ANYDAY. Nobel & Prize Winners Library,GANGA LIBRARY INC,"Date Posted: January 4, 2025","Our letters have been swiftly accepted by courts in the US. Work will be based on YOUR background, interests and ho","San Jose, CA, 95113"
5 Foster a Loving Adult Cat,13th Street Cat Rescue,"Date Posted: December 29, 2024","We urgently need Foster homes for Adult Kitties. Many of these adult kitties are surrendered to us or pulled from the shelter for various reasons, such as the owner's death, divorce, allergies, or moving out of the country. A key component of our rescue program is the foster home. Without adequate numbers of foster homes, we are limited in how many cats we can take in at one","San Jose, CA, 95112"
6 American Sign Language Wish Granter - San Jose Area,Make-A-Wish,"Date Posted: December 24, 2024","Make-A-Wish grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength, and joy. Wish granter volunteers interview wish kids to determine their wishes, and send in paperwork to the office. When the wish is approved, the wish granters find creative ways to ""enhance"" the child’s wish. Our chapter typically","San Jose, CA, 95112"
7 Fight Hunger! Food Distribution at Washington United Youth Center- San Jose,Second Harvest of Silicon Valley,"Date Posted: January 3, 2025","Food Distribution at Washington United Youth Center 2nd Tuesday of every month, from 8:30am-11:30am 4th Saturday of every month, from 8:30am-12pm PLEASE SIGN UP TO VOLUNTEER (To register, please copy the link below and paste into your browser): https://www.shfb.o","San Jose, CA, 95110"
8 Food Pantry Check - In Helper,"The Salvation Army - San Jose, CA","Date Posted: December 16, 2024","Position: Food Pantry Check-In Helper Reports to: Terry Knickerbocker Select Mondays thru Fridays, 8:45am-12:15pm. (2 volunteers needed per day). Job Summary The Food Pantry Check-In Helper is responsible for assisting clients in the check-in process at the food bank program. This role","San Jose, CA, 95112"
9 Board Member with expertise in Fundraising,Front Door Communities,"Date Posted: December 11, 2024","Front Door Communities is looking for a committed board member to serve on our organization's governing body. The board member's responsibilities include advising on strategic plans, participating in evaluations, and monitoring its financial affairs. You should also prepare for board meetings, attend them regularly, and actively participate in them. To be successful as a board member you shoul","San Jose, CA, 95113"
10 Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"Date Posted: December 5, 2024","MusicLink is in need of experienced music teachers and related volunteers in California. With MusicLink, students (children under 18 years old) who show an interest in taking music lessons, but cannot afford full fee lessons, are linked with qualified music teachers willing to reduce their fee by at l","San Jose, CA, 95113"
